codeName,codeType,faceValue,numberShares,codeNum,date,closed,updown,delta,open,high,low,volume
삼성전자,코스피,5000,147299,005930,2014.10.28,1091000,down,4000,1090000,1100000,1086000,124877
삼성전자,코스피,5000,147299,005930,2014.10.29,1130000,up,39000,1100000,1130000,1090000,274522
삼성전자,코스피,5000,147299,005930,2014.10.30,1181000,up,51000,1129000,1183000,1115000,491339
삼성전자,코스피,5000,147299,005930,2014.10.31,1244000,up,63000,1198000,1250000,1185000,772463
삼성전자,코스피,5000,147299,005930,2014.11.03,1235000,down,9000,1250000,1252000,1216000,269516
삼성전자,코스피,5000,147299,005930,2014.11.04,1217000,down,18000,1219000,1242000,1205000,260006
삼성전자,코스피,5000,147299,005930,2014.11.05,1202000,down,15000,1215000,1225000,1194000,203243
삼성전자,코스피,5000,147299,005930,2014.11.06,1204000,up,2000,1198000,1210000,1193000,171403
삼성전자,코스피,5000,147299,005930,2014.11.07,1206000,up,2000,1218000,1218000,1195000,120604
삼성전자,코스피,5000,147299,005930,2014.11.10,1268000,up,62000,1226000,1269000,1222000,384058
삼성전자,코스피,5000,147299,005930,2014.11.11,1231000,down,37000,1255000,1261000,1227000,242828
삼성전자,코스피,5000,147299,005930,2014.11.12,1230000,down,1000,1231000,1234000,1219000,181592
삼성전자,코스피,5000,147299,005930,2014.11.13,1200000,down,30000,1228000,1232000,1199000,230943
삼성전자,코스피,5000,147299,005930,2014.11.14,1194000,down,6000,1201000,1201000,1180000,212435
삼성전자,코스피,5000,147299,005930,2014.11.17,1205000,up,11000,1190000,1220000,1182000,193879
삼성전자,코스피,5000,147299,005930,2014.11.18,1220000,up,15000,1220000,1227000,1215000,215094
삼성전자,코스피,5000,147299,005930,2014.11.19,1218000,down,2000,1238000,1238000,1212000,250055
삼성전자,코스피,5000,147299,005930,2014.11.20,1210000,down,8000,1206000,1220000,1206000,200483
삼성전자,코스피,5000,147299,005930,2014.11.21,1223000,up,13000,1219000,1226000,1217000,246727
삼성전자,코스피,5000,147299,005930,2014.11.24,1220000,down,3000,1247000,1248000,1210000,205686
삼성전자,코스피,5000,147299,005930,2014.11.25,1190000,down,30000,1224000,1224000,1190000,356221
삼성전자,코스피,5000,147299,005930,2014.11.26,1201000,up,11000,1190000,1211000,1182000,245758
삼성전자,코스피,5000,147299,005930,2014.11.27,1264000,up,63000,1273000,1301000,1264000,887556
삼성전자,코스피,5000,147299,005930,2014.11.28,1287000,up,23000,1295000,1296000,1274000,196891
삼성전자,코스피,5000,147299,005930,2014.12.01,1295000,up,8000,1294000,1298000,1287000,257337
삼성전자,코스피,5000,147299,005930,2014.12.02,1295000,,0,1295000,1295000,1266000,184454
삼성전자,코스피,5000,147299,005930,2014.12.03,1298000,up,3000,1300000,1301000,1295000,194710
삼성전자,코스피,5000,147299,005930,2014.12.04,1300000,up,2000,1302000,1303000,1298000,177427
삼성전자,코스피,5000,147299,005930,2014.12.05,1302000,up,2000,1314000,1314000,1300000,112756
삼성전자,코스피,5000,147299,005930,2014.12.08,1319000,up,17000,1303000,1321000,1302000,158331
삼성전자,코스피,5000,147299,005930,2014.12.09,1349000,up,30000,1319000,1357000,1319000,271062
삼성전자,코스피,5000,147299,005930,2014.12.10,1317000,down,32000,1346000,1346000,1317000,319556
삼성전자,코스피,5000,147299,005930,2014.12.11,1305000,down,12000,1317000,1319000,1294000,409817
삼성전자,코스피,5000,147299,005930,2014.12.12,1286000,down,19000,1303000,1304000,1274000,287945
삼성전자,코스피,5000,147299,005930,2014.12.15,1273000,down,13000,1280000,1280000,1260000,286759
삼성전자,코스피,5000,147299,005930,2014.12.16,1279000,up,6000,1270000,1289000,1268000,257895
삼성전자,코스피,5000,147299,005930,2014.12.17,1266000,down,13000,1279000,1283000,1253000,261773
삼성전자,코스피,5000,147299,005930,2014.12.18,1266000,,0,1266000,1279000,1252000,236165
삼성전자,코스피,5000,147299,005930,2014.12.19,1328000,up,62000,1294000,1328000,1287000,367130
삼성전자,코스피,5000,147299,005930,2014.12.22,1345000,up,17000,1345000,1347000,1318000,358877
삼성전자,코스피,5000,147299,005930,2014.12.23,1339000,down,6000,1346000,1349000,1337000,219527
삼성전자,코스피,5000,147299,005930,2014.12.24,1343000,up,4000,1339000,1343000,1339000,125140
삼성전자,코스피,5000,147299,005930,2014.12.26,1352000,up,9000,1343000,1355000,1343000,229762
삼성전자,코스피,5000,147299,005930,2014.12.29,1329000,down,23000,1345000,1347000,1329000,192749
삼성전자,코스피,5000,147299,005930,2014.12.30,1327000,down,2000,1330000,1335000,1321000,212982
